Name,Type,Category,Research Score,.com,.com Checked,.io,.io Checked,.net,.net Checked,.co.uk,.co.uk Checked,.dev,.dev Checked,.app,.app Checked,.org,.org Checked,Status,Rank,Meaning,Vibe,Recommendation
Cipher,cryptographic,First Round Non-Compound,,,,,,,,,,,,,,,,,19,"Code, key to understanding","Mysterious, intellectual, puzzle-like",none
Ideate,,,,,,,,,,,,,,,,,,,19,,,
Beacon,metaphorical,First Round Non-Compound,,,,,,,,,,,,,,,,,19,"Guiding light, signal","Helpful, directional, illuminating",none
Schola,,,,,,,,,,,,,,,,,,,19,,,
Logos,classical,Expanded Round,,❌,2025-11-21T21:24:59.997Z,,,,,,,,,,,,,,20,"Reason, discourse, knowledge","Philosophical, powerful, foundational",none
Omni,,,,,,,,,,,,,,,,,,,20,,,
Axis,mathematical,Expanded Round,,❌,2025-11-21T21:21:03.517Z,,,,,,,,,,,,,,30,"Central line, pivot point","Central, pivotal, mathematical",none
Kore,tech-minimal,Expanded Round,,❌,2025-11-21T21:24:58.188Z,,,,,,,,,,,,,,20,"Core, essence, maiden","Essential, Greek mythology connection",none
Scopus,classical,First Round Non-Compound,,❌,2025-11-21T21:23:15.601Z,,,,,,,,,,,,,,24,"Range of view, comprehensive scope","Scientific, established-sounding",none
Prism,scientific,First Round Non-Compound,,❌,2025-11-21T21:22:05.092Z,,,,,,,,,,,,,,25,"Refracts light, shows multiple perspectives","Visual, analytical, multi-faceted",none
Qube,,,,,,,,,,,,,,,,,,,20,,,
Cognate,single-word,First Round Non-Compound,,,,,,,,,,,,,,,,,18,"Related, connected through origin","Academic term, implies relationships",none
Erudia,invented,First Round Non-Compound,,❌,2025-11-21T21:20:32.078Z,,,,,,,,,,,,,,39,Land of the learned,"Sophisticated, fluid, memorable",low
Studium,lexical,New Non-Compound Concepts,,,,,,,,,,,,,,,,,18,Focused pursuit of knowledge,"Classical, trustworthy, academic",research-needed
Lumen,classical,First Round Non-Compound,,,,,,,,,,,,,,,,,20,"Light, illumination, enlightenment","Enlightening, clear, positive",none
Docere,classical,First Round Non-Compound,,,,,,,,,,,,,,,,,19,"To teach, to instruct","Educational, Latin elegance, memorable",none
Orbis,classical,Expanded Round,,❌,2025-11-21T21:22:03.778Z,,,,,,,,,,,,,,25,"World, sphere, comprehensive circle","Global, comprehensive, circular knowledge",low
Literate,,,,,,,,,,,,,,,,,,,17,,,
Thoth,mythological,Expanded Round,,,,,,,,,,,,,,,,,20,"Knowledge, writing, wisdom","Ancient wisdom, powerful, authoritative",none
Learnbase,,,,,,,,,,,,,,,,,,,16,,,
Sagax,classical,First Round Non-Compound,,❌,2025-11-21T21:21:06.509Z,,,,,,,,,,,,,,30,"Sharp-minded, perceptive","Smart, punchy, memorable",none
Luminor,invented,New Non-Compound Concepts,,,,,,,,,,,,,,,,,18,Bringer of light or clarity,"Clear, confident, premium",research-needed
Quill,single-word,First Round Non-Compound,,,,,,,,,,,,,,,,,20,"Writing instrument, scholarly tool","Classic, literary, writing-focused",none
Tome,single-word,First Round Non-Compound,,❌,2025-11-21T21:22:48.287Z,,,,,,,,,,,,,,25,Large scholarly book,"Academic, substantial, classic",low
Vero,ultra-short,Expanded Round,,,,,,,,,,,,,,,,,20,"Truth, genuine knowledge","Clean, modern, trustworthy",none
Academix,,,,,,,,,,,,,,,,,,,17,,,
Mica,material,Expanded Round,,,,,,,,,,,,,,,,,20,"Layered knowledge, transparent sheets","Layered, transparent, geological",none
Methix,,,,❌,2025-11-21T21:20:32.786Z,,,,,,,,,,,,,,39,,,
Docent,,,,,,,,,,,,,,,,,,,19,,,
Archival,,,,,,,,,,,,,,,,,,,17,,,
Ora,phonetic-invention,Expanded Round,,,,,,,,,,,,,,,,,20,"Edge, speech, boundary","Minimal, elegant, speech/discourse focus",none
Bibliom,blend,First Round Non-Compound,,❌,2025-11-21T21:20:30.079Z,,,,,,,,,,,,,,68,Totality of bibliography,"Scholarly, comprehensive, unique",medium
Synt,,,,,,,,,,,,,,,,,,,20,,,
Paperflow,,,,,,,,,,,,,,,,,,,16,,,
Factbase,,,,,,,,,,,,,,,,,,,17,,,
Lexora,invented,New Non-Compound Concepts,,,,,,,,,,,,,,,,,19,Domain of curated language and knowledge,"Sleek, contemporary, linguistic",research-needed
Lithos,,,,,,,,,,,,,,,,,,,19,,,
Atlas,mythological,Expanded Round,,❌,2025-11-21T21:23:26.014Z,,,,,,,,,,,,,,20,"World-bearer, comprehensive collection","Comprehensive, world-spanning, strong",none
Factcheck,,,,,,,,,,,,,,,,,,,16,,,
Infomap,,,,,,,,,,,,,,,,,,,18,,,
Arke,,,,❌,2025-11-21T21:21:38.250Z,,,,,,,,,,,,,,25,,,
CitationMesh,compound,Original Top 4,23,✅,2025-11-21T21:20:28.658Z,,,,,,,,,,,,,,91,Network/mesh of academic citations,"Technical, network-focused, descriptive, modern",high
Koda,phonetic-invention,Expanded Round,,❌,2025-11-21T21:24:57.553Z,,,,,,,,,,,,,,20,"Code, data, knowledge encoding","Tech-forward, modern, catchy",none
Knowflow,,,,,,,,,,,,,,,,,,,17,,,
Spark,power-word,Expanded Round,,,,,,,,,,,,,,,,,20,"Inspiration, ignition, idea","Inspiring, igniting curiosity",none
Graphademia,compound,Original Top 4,22,✅,2025-11-21T21:20:29.097Z,,,,,,,,,,,,,,90,Academic graph/network platform,"Academic, graph-oriented, portmanteau, scholarly",medium-high
ScholarWeave,compound,Original Top 4,25,✅,2025-11-21T21:20:28.112Z,,,,,,,,,,,,,,93,Weaving together scholarly knowledge and research,"Elegant, collaborative, scholarly, interconnected",highest
Flint,power-word,Expanded Round,,❌,2025-11-21T21:24:32.537Z,,,,,,,,,,,,,,20,"Spark of knowledge, foundation","Strong, foundational, spark-creating",none
Aether,abstract,Expanded Round,,,,,,,,,,,,,,,,,19,"Pure essence, quintessence","Ethereal, essential, foundational",none
Vyse,tech-minimal,Expanded Round,,,,,,,,,,,,,,,,,20,"Guidance, advice, wisdom","Modern, sharp, advisory",none
Kaos,,,,❌,2025-11-21T21:24:56.862Z,,,,,,,,,,,,,,20,,,
Auraton,invented,New Non-Compound Concepts,,❌,2025-11-21T21:20:39.093Z,,,,,,,,,,,,,,33,Golden aura of insights,"Premium, luminous, memorable",research-needed
Neuron,,,,,,,,,,,,,,,,,,,19,,,
Lexicon,single-word,First Round Non-Compound,,❌,2025-11-21T21:21:33.539Z,,,,,,,,,,,,,,28,"Dictionary, vocabulary of knowledge","Scholarly, comprehensive collection",none
Synkrisis,lexical,New Non-Compound Concepts,,❌,2025-11-21T21:20:37.042Z,,,,,,,,,,,,,,36,Comparative analysis of ideas,"Comparative, analytical, distinctive",research-needed
Kairo,phonetic-invention,Expanded Round,,❌,2025-11-21T21:21:40.851Z,,,,,,,,,,,,,,25,"Right moment, opportune time","Timely, opportune, philosophical",low
Kyra,ultra-short,Expanded Round,,❌,2025-11-21T21:21:41.899Z,,,,,,,,,,,,,,25,Authoritative knowledge,"Modern, feminine, memorable",none
Edubase,,,,,,,,,,,,,,,,,,,18,,,
Meridian,classical,Expanded Round,,,,,,,,,,,,,,,,,17,"Peak, zenith, highest point","Aspirational, peak achievement",none
Zenith,abstract,Expanded Round,,,,,,,,,,,,,,,,,19,"Peak, highest achievement","Aspirational, peak excellence",none
Praxis,,,,,,,,,,,,,,,,,,,19,,,
Meta,,,,,,,,,,,,,,,,,,,20,,,
Cyte,,,,❌,2025-11-21T21:24:10.477Z,,,,,,,,,,,,,,20,,,
Scholium,classical,First Round Non-Compound,,❌,2025-11-21T21:20:43.510Z,,,,,,,,,,,,,,32,Scholarly annotation or explanation,"Academic, classical, precise",none
Neva,phonetic-invention,Expanded Round,,,,,,,,,,,,,,,,,20,"New, innovation","Modern, fresh, innovative",none
Link,single-word,First Round Non-Compound,,❌,2025-11-21T21:24:58.754Z,,,,,,,,,,,,,,20,"Connection, relationship","Direct, simple, clear",none
Iota,,,,❌,2025-11-21T21:24:56.263Z,,,,,,,,,,,,,,20,,,
Scholix,blend,First Round Non-Compound,,❌,2025-11-21T21:20:34.278Z,,,,,,,,,,,,,,38,Scholarly connections/spiral,"Modern, technical, memorable",none
Erudion,invented,New Non-Compound Concepts,,❌,2025-11-21T21:20:39.895Z,,,,,,,,,,,,,,33,State of deep scholarly learning,"Cultivated, confident, tech-savvy",research-needed
Writeiq,,,,❌,2025-11-21T21:20:34.890Z,,,,,,,,,,,,,,38,,,
Crest,power-word,Expanded Round,,❌,2025-11-21T21:24:05.377Z,,,,,,,,,,,,,,20,"Peak, summit, achievement","Achievement-focused, peak excellence",none
Graphon,blend,First Round Non-Compound,,❌,2025-11-21T21:21:13.532Z,,,,,,,,,,,,,,28,"Graph entity, being of graphs","Technical, memorable",none
Mentis,lexical,New Non-Compound Concepts,,,,,,,,,,,,,,,,,19,"Mind, intellect","Concise, intellectual, timeless",research-needed
Analytica,lexical,New Non-Compound Concepts,,,,,,,,,,,,,,,,,16,Analytical insight domain,"Data-centric, clear, credible",research-needed
Vectura,invented,New Non-Compound Concepts,,,,,,,,,,,,,,,,,18,Movement and direction through knowledge graphs,"Dynamic, technical, forward-moving",research-needed
Rezi,ultra-short,Expanded Round,,,,,,,,,,,,,,,,,20,Research essence,"Tech-forward, minimalist, catchy",none
Prax,,,,,,,,,,,,,,,,,,,20,,,
Liro,ultra-short,Expanded Round,,❌,2025-11-21T21:24:59.465Z,,,,,,,,,,,,,,20,Library research,"Smooth, memorable, academic",none
Cognix,,,,❌,2025-11-21T21:23:12.308Z,,,,,,,,,,,,,,24,,,
Recite,,,,,,,,,,,,,,,,,,,19,,,
Delta,greek-letter,Expanded Round,,❌,2025-11-21T21:21:39.709Z,,,,,,,,,,,,,,25,"Change, difference, transformation","Scientific, dynamic, mathematical",none
Evidion,invented,New Non-Compound Concepts,,❌,2025-11-21T21:21:12.733Z,,,,,,,,,,,,,,28,Space for verifiable findings,"Rigorous, trustworthy, concise",research-needed
Quartz,material,Expanded Round,,,,,,,,,,,,,,,,,19,"Clear crystal, precision","Clear, precise, structured",none
Node,technical,First Round Non-Compound,,❌,2025-11-21T21:21:43.774Z,,,,,,,,,,,,,,25,Connection point in network,"Technical, precise, graph-oriented",none
Quanta,scientific,Expanded Round,,,,,,,,,,,,,,,,,19,"Discrete quantity, fundamental unit","Scientific, precise, quantum-inspired",none
Graphos,classical,First Round Non-Compound,,,,,,,,,,,,,,,,,18,"Writing, recording knowledge",Classical meets technical,none
Nexus,single-word,First Round Non-Compound,,❌,2025-11-21T21:21:42.784Z,,,,,,,,,,,,,,25,"Connection point, central link","Strong, tech-forward, powerful",none
Glyf,,,,❌,2025-11-21T21:24:35.089Z,,,,,,,,,,,,,,20,,,
Theseus,mythological,First Round Non-Compound,,❌,2025-11-21T21:23:19.549Z,,,,,,,,,,,,,,23,Symbolic of building/founding,"Mythological, strong, memorable",low
Sapientum,classical,First Round Non-Compound,,❌,2025-11-21T21:23:23.126Z,,,,,,,,,,,,,,21,Of the wise ones,"Scholarly, community-focused, classical",none
ResearchLattice,compound,Original Top 4,22,✅,2025-11-21T21:20:29.573Z,,,,,,,,,,,,,,86,Structured framework of research connections,"Scientific, structural, mathematical, organized",medium-high
Learniq,,,,❌,2025-11-21T21:23:18.859Z,,,,,,,,,,,,,,23,,,
Zora,phonetic-invention,Expanded Round,,❌,2025-11-21T21:21:07.696Z,,,,,,,,,,,,,,30,"Dawn, new beginning","Fresh, new, illuminating",none
Quotebox,,,,,,,,,,,,,,,,,,,17,,,
Lumina,classical,Expanded Round,,,,,,,,,,,,,,,,,19,"Lights, illuminations","Multiple insights, enlightening, bright",none
Lexica,,,,,,,,,,,,,,,,,,,19,,,
Telos,classical,Expanded Round,,,,,,,,,,,,,,,,,20,"Ultimate purpose, goal","Philosophical, purposeful, directed",none
Archivum,invented,New Non-Compound Concepts,,,,,,,,,,,,,,,,,17,Curated archive of knowledge,"Trusted, archival, precise",research-needed
Mindmap,,,,,,,,,,,,,,,,,,,18,,,
Zeno,,,,,,,,,,,,,,,,,,,20,,,
Conecta,international,First Round Non-Compound,,❌,2025-11-21T21:23:17.349Z,,,,,,,,,,,,,,23,"Connection, linking","Global, accessible, friendly",none
Citero,,,,❌,2025-11-21T21:20:31.493Z,,,,,,,,,,,,,,39,,,
Helix,scientific,First Round Non-Compound,,❌,2025-11-21T21:21:40.361Z,,,,,,,,,,,,,,25,"Spiral structure, DNA, interconnection","Scientific, modern, elegant",none
Edumetric,,,,,,,,,,,,,,,,,,,16,,,
Cognixa,,,,❌,2025-11-21T21:21:12.214Z,,,,,,,,,,,,,,28,,,
Scholiq,,,,❌,2025-11-21T21:20:33.699Z,,,,,,,,,,,,,,38,,,
Xypher,,,,❌,2025-11-21T21:23:16.700Z,,,,,,,,,,,,,,24,,,
Citara,blend,First Round Non-Compound,,❌,2025-11-21T21:22:52.302Z,,,,,,,,,,,,,,24,"Clear citations, altar of knowledge","Musical (like citara/sitar), elegant",none
Vyx,ultra-short,Expanded Round,,❌,2025-11-21T21:22:49.415Z,,,,,,,,,,,,,,25,None (pure neologism),"Edgy, modern, unique",none
Obsidian,material,Expanded Round,,,,,,,,,,,,,,,,,17,"Sharp insight, volcanic glass","Sharp, powerful, geological",none
Texis,modified-academic,Expanded Round,,❌,2025-11-21T21:22:28.281Z,,,,,,,,,,,,,,25,"Thesis, proposition, argument","Academic, modern twist on classic term",low
Acadex,,,,❌,2025-11-21T21:21:09.181Z,,,,,,,,,,,,,,29,,,
Kynos,ultra-short,Expanded Round,,❌,2025-11-21T21:21:41.398Z,,,,,,,,,,,,,,25,Knowledge network,"Unique, scholarly, Greek roots",low
Quintus,classical,Expanded Round,,,,,,,,,,,,,,,,,18,"Quintessence, fifth element","Essential, fundamental, classical",none
Reva,phonetic-invention,Expanded Round,,,,,,,,,,,,,,,,,20,"Renewal, revision, review","Modern, flowing, memorable",none
Readflow,,,,,,,,,,,,,,,,,,,17,,,
Lume,,,,❌,2025-11-21T21:25:00.531Z,,,,,,,,,,,,,,20,,,
Noda,ultra-short,Expanded Round,,,,,,,,,,,,,,,,,20,"Network node, data point","Technical, minimal, graph-oriented",none
Saga,mythological,Expanded Round,,,,,,,,,,,,,,,,,20,"Story, narrative, long tale","Narrative-focused, storytelling",none
Enso,,,,❌,2025-11-21T21:24:30.480Z,,,,,,,,,,,,,,20,,,
Clarion,classical,Expanded Round,,,,,,,,,,,,,,,,,18,"Clear, loud, announcing","Bold, clear, announcing knowledge",none
Scriptor,classical,First Round Non-Compound,,❌,2025-11-21T21:23:22.511Z,,,,,,,,,,,,,,22,"One who writes, recorder","Classical, authoritative, literary",none
Thesis,,,,,,,,,,,,,,,,,,,19,,,
Scholarium,invented,New Non-Compound Concepts,,❌,2025-11-21T21:22:26.032Z,,,,,,,,,,,,,,25,Scholarly repository or hall of learning,"Professional, archival, modern-classical",research-needed
Academis,invented,New Non-Compound Concepts,,❌,2025-11-21T21:23:20.328Z,,,,,,,,,,,,,,22,Integrated academic platform,"Comprehensive, platform-like, professional",research-needed
Cognitum,classical,First Round Non-Compound,,,,,,,,,,,,,,,,,17,That which is known,"Philosophical, knowledge-focused",none
Graphex,,,,❌,2025-11-21T21:23:18.052Z,,,,,,,,,,,,,,23,,,
Protasis,lexical,New Non-Compound Concepts,,❌,2025-11-21T21:21:36.639Z,,,,,,,,,,,,,,27,Opening clause or proposition in rhetoric,"Analytical, precise, scholarly",research-needed
Infobase,,,,,,,,,,,,,,,,,,,17,,,
Paperiq,,,,❌,2025-11-21T21:20:41.633Z,,,,,,,,,,,,,,33,,,
Dokma,modified-academic,Expanded Round,,❌,2025-11-21T21:21:05.817Z,,,,,,,,,,,,,,30,"Thought, opinion, knowledge","Philosophical, thoughtful, unique",low
Ethos,classical,Expanded Round,,❌,2025-11-21T21:24:31.657Z,,,,,,,,,,,,,,20,"Character, credibility, ethics","Trustworthy, ethical, classical",none
Notion,,,,,,,,,,,,,,,,,,,19,,,
Docq,,,,❌,2025-11-21T21:21:05.162Z,,,,,,,,,,,,,,30,,,
Logiciq,,,,❌,2025-11-21T21:20:40.518Z,,,,,,,,,,,,,,33,,,
Acme,,,,❌,2025-11-21T21:23:24.493Z,,,,,,,,,,,,,,20,,,
Yara,,,,,,,,,,,,,,,,,,,20,,,
Xeno,,,,,,,,,,,,,,,,,,,20,,,
Notebox,,,,,,,,,,,,,,,,,,,18,,,
Radius,mathematical,Expanded Round,,,,,,,,,,,,,,,,,19,"Ray, reach, extent","Reaching out, extending, mathematical",none
Knowbase,,,,,,,,,,,,,,,,,,,17,,,
Writex,,,,❌,2025-11-21T21:21:10.841Z,,,,,,,,,,,,,,29,,,
Ryze,,,,,,,,,,,,,,,,,,,20,,,
Vertex,mathematical,First Round Non-Compound,,❌,2025-11-21T21:23:16.163Z,,,,,,,,,,,,,,24,"Top point, apex, node in graph","Technical, mathematical, precise",none
Lyra,phonetic-invention,Expanded Round,,,,,,,,,,,,,,,,,20,"Harmony, constellation, music","Harmonious, celestial, elegant",none
Scholarly,,,,,,,,,,,,,,,,,,,16,,,
Lucerna,invented,New Non-Compound Concepts,,,,,,,,,,,,,,,,,18,Light that illuminates research pathways,"Illuminating, poetic, confident",research-needed
Pulse,power-word,Expanded Round,,❌,2025-11-21T21:22:06.026Z,,,,,,,,,,,,,,25,"Rhythm, life force, activity","Active, alive, pulsing with knowledge",low
Zeta,greek-letter,Expanded Round,,❌,2025-11-21T21:22:50.741Z,,,,,,,,,,,,,,25,"Variable, research parameter","Scientific, mathematical, precise",none
Arkive,,,,,,,,,,,,,,,,,,,19,,,
Texa,,,,,,,,,,,,,,,,,,,20,,,
Cognitia,invented,New Non-Compound Concepts,,❌,2025-11-21T21:23:21.038Z,,,,,,,,,,,,,,22,Domain of cognition and understanding,"Modern SaaS, intelligent, crisp",research-needed
Quoteiq,,,,❌,2025-11-21T21:21:34.257Z,,,,,,,,,,,,,,28,,,
Notespace,,,,,,,,,,,,,,,,,,,16,,,
Flux,tech-minimal,Expanded Round,,❌,2025-11-21T21:24:33.249Z,,,,,,,,,,,,,,20,"Flow, constant change, dynamic","Dynamic, flowing, ever-changing",none
Nexum,classical,Expanded Round,,,,,,,,,,,,,,,,,20,"Bond, connection, tie","Connected, bound together, networked",none
Literati,,,,,,,,,,,,,,,,,,,17,,,
Hexa,,,,❌,2025-11-21T21:24:55.093Z,,,,,,,,,,,,,,20,,,
Querium,invented,New Non-Compound Concepts,,❌,2025-11-21T21:20:42.144Z,,,,,,,,,,,,,,33,Realm of scholarly inquiry,"Inquisitive, structured, tech-forward",research-needed
Nodo,,,,,,,,,,,,,,,,,,,20,,,
Briefcase,,,,,,,,,,,,,,,,,,,16,,,
Biblio,,,,,,,,,,,,,,,,,,,19,,,
Graphia,scientific,Expanded Round,,,,,,,,,,,,,,,,,18,"Writing, recording knowledge","Academic, recording-focused, classical",none
Scientia,classical,First Round Non-Compound,,,,,,,,,,,,,,,,,17,"Knowledge, systematic understanding","Classical, scholarly, sophisticated",none
Docubase,,,,,,,,,,,,,,,,,,,17,,,
Akademos,classical,First Round Non-Compound,,,,,,,,,,,,,,,,,17,"The original academy, birthplace of learning","Classical, authoritative, historical",none
Noesis,classical,First Round Non-Compound,,,,,,,,,,,,,,,,,19,"Act of thinking, mental perception","Philosophical, intellectual",none
Vela,phonetic-invention,Expanded Round,,,,,,,,,,,,,,,,,20,"Sails, forward movement","Moving forward, elegant, flowing",none
Aeon,,,,❌,2025-11-21T21:23:25.319Z,,,,,,,,,,,,,,20,,,
Beryl,material,Expanded Round,,❌,2025-11-21T21:21:38.933Z,,,,,,,,,,,,,,25,"Precious, valuable, gemstone","Valuable, precious knowledge",none
Gnosis,classical,First Round Non-Compound,,❌,2025-11-21T21:23:13.293Z,,,,,,,,,,,,,,24,"Knowledge, spiritual insight","Mystical, intellectual, profound",none
Ethica,,,,,,,,,,,,,,,,,,,19,,,
Studyflow,,,,,,,,,,,,,,,,,,,16,,,
Axion,scientific,First Round Non-Compound,,❌,2025-11-21T21:23:26.837Z,,,,,,,,,,,,,,20,"Worthy, valuable; fundamental particle","Scientific, modern, cutting-edge",none
Thinkiq,,,,❌,2025-11-21T21:21:34.937Z,,,,,,,,,,,,,,28,,,
Opal,material,Expanded Round,,,,,,,,,,,,,,,,,20,"Multi-faceted, iridescent","Colorful, multi-perspective, precious",none
Thinkbase,,,,,,,,,,,,,,,,,,,16,,,
Zynth,tech-minimal,Expanded Round,,❌,2025-11-21T21:21:08.424Z,,,,,,,,,,,,,,30,"Synthesis, bringing together","Modern, edgy, synthetic",low
Acadi,invented,First Round Non-Compound,,❌,2025-11-21T21:20:37.762Z,,,,,,,,,,,,,,35,Academic paradise,"Short, memorable, friendly",low
Scholara,invented,First Round Non-Compound,,❌,2025-11-21T21:23:21.896Z,,,,,,,,,,,,,,22,"Scholarly atmosphere, intellectual illumination","Elegant, memorable, flowing",none
Aurora,abstract,Expanded Round,,,,,,,,,,,,,,,,,19,"Dawn, illumination, new light","Illuminating, new beginning, beautiful",none
Veritas,classical,Expanded Round,,,,,,,,,,,,,,,,,18,"Truth, reality","Trustworthy, academic, Harvard motto",none
Qore,tech-minimal,Expanded Round,,,,,,,,,,,,,,,,,20,"Core, essence, center","Essential, central, unique spelling",none
Lucida,classical,Expanded Round,,,,,,,,,,,,,,,,,19,"Clear, illuminating, lucid","Clarity-focused, bright, enlightening",none
Sage,single-word,First Round Non-Compound,,,,,,,,,,,,,,,,,20,"Wise person, aromatic herb","Wisdom, natural, timeless",none
Apex,single-word,First Round Non-Compound,,❌,2025-11-21T21:21:37.523Z,,,,,,,,,,,,,,25,"Peak, summit, highest point","Aspirational, strong, memorable",low
Codex,classical,First Round Non-Compound,,❌,2025-11-21T21:23:28.294Z,,,,,,,,,,,,,,20,"Ancient manuscript, collection of knowledge","Historical, scholarly, authoritative",none
Citeflex,,,,,,,,,,,,,,,,,,,17,,,
Metastudy,,,,,,,,,,,,,,,,,,,16,,,
Eduvia,,,,,,,,,,,,,,,,,,,19,,,
Axon,,,,❌,2025-11-21T21:23:27.457Z,,,,,,,,,,,,,,20,,,
Citeflow,,,,❌,2025-11-21T21:21:35.946Z,,,,,,,,,,,,,,27,,,
Grapho,,,,❌,2025-11-21T21:23:14.253Z,,,,,,,,,,,,,,24,,,
Readbase,,,,,,,,,,,,,,,,,,,17,,,
Sigma,greek-letter,Expanded Round,,,,,,,,,,,,,,,,,20,"Sum, total, aggregate","Mathematical, statistical, precise",none
Verify,,,,,,,,,,,,,,,,,,,19,,,
Mentoria,invented,New Non-Compound Concepts,,,,,,,,,,,,,,,,,17,Guided scholarly mentorship,"Supportive, aspirational, human-centric",research-needed
Writ,,,,,,,,,,,,,,,,,,,20,,,
Epistema,classical,First Round Non-Compound,,❌,2025-11-21T21:20:42.622Z,,,,,,,,,,,,,,32,"Knowledge, scientific understanding","Intellectual, Greek philosophy roots",low
Ratio,classical,Expanded Round,,,,,,,,,,,,,,,,,20,"Reason, method, calculation","Logical, methodical, classical",none
Paedia,modified-academic,Expanded Round,,❌,2025-11-21T21:21:10.039Z,,,,,,,,,,,,,,29,"Education, culture, learning","Classical, educational, scholarly",low
Academica,,,,,,,,,,,,,,,,,,,16,,,
Logica,,,,,,,,,,,,,,,,,,,19,,,
Archive,single-word,First Round Non-Compound,,❌,2025-11-21T21:21:11.746Z,,,,,,,,,,,,,,28,Collection of historical documents/records,"Preservation, knowledge repository",none
Docuflow,,,,,,,,,,,,,,,,,,,17,,,
Intellex,invented,New Non-Compound Concepts,,,,,,,,,,,,,,,,,17,Flexible intelligence workspace,"Tech-forward, crisp, confident",research-needed
Cognibase,,,,,,,,,,,,,,,,,,,16,,,
Mimir,mythological,Expanded Round,,,,,,,,,,,,,,,,,20,"Wisdom, counsel, knowledge","Wise, counsel-focused, Norse mythology",none
Notilium,invented,New Non-Compound Concepts,,✅,2025-11-21T21:20:30.536Z,,,,,,,,,,,,,,67,Durable vault of research notes,"Solid, reliable, archival",research-needed
Forge,power-word,Expanded Round,,❌,2025-11-21T21:24:33.764Z,,,,,,,,,,,,,,20,"Create, build, shape knowledge","Creation-focused, building, crafting",none
Ratiom,invented,New Non-Compound Concepts,,❌,2025-11-21T21:20:33.261Z,,,,,,,,,,,,,,39,Reasoned measure of knowledge,"Mathematical, cerebral, minimalist",research-needed
Velo,,,,,,,,,,,,,,,,,,,20,,,
Graphflow,,,,,,,,,,,,,,,,,,,16,,,
Praxison,invented,New Non-Compound Concepts,,❌,2025-11-21T21:20:35.453Z,,,,,,,,,,,,,,37,Applied scholarly practice,"Purposeful, action-oriented, modern",research-needed
Muse,mythological,Expanded Round,,,,,,,,,,,,,,,,,20,"Inspiration, creativity, arts","Inspiring, creative, artistic",none
Metrix,scientific,Expanded Round,,❌,2025-11-21T21:23:14.897Z,,,,,,,,,,,,,,24,"Measurement, metrics, analysis","Analytical, data-focused, modern",low
Quasar,,,,,,,,,,,,,,,,,,,19,,,
Virtus,classical,Expanded Round,,,,,,,,,,,,,,,,,19,"Excellence, virtue, merit","Excellence-focused, classical, strong",none
Xylo,tech-minimal,Expanded Round,,❌,2025-11-21T21:22:50.211Z,,,,,,,,,,,,,,25,"Structure, framework","Structural, modern despite ancient root",low
Factum,,,,,,,,,,,,,,,,,,,19,,,